NUM	LOTS	Date	Time	BW	sex	Tim	Value
W632	S	17/06/2015	0	242.20	female	ADG_0_24	1.409090909
W636	R	17/06/2015	0	328.60	female	ADG_0_24	2.218181818
W637	R	17/06/2015	0	310.00	female	ADG_0_24	1.018181818
W641	R	17/06/2015	0	307.00	female	ADG_0_24	1.627272727
W642	R	17/06/2015	0	334.00	female	ADG_0_24	1.181818182
W643	R	17/06/2015	0	227.40	female	ADG_0_24	0.918181818
W646	S	17/06/2015	0	237.20	female	ADG_0_24	1.036363636
W649	R	17/06/2015	0	260.80	female	ADG_0_24	0.809090909
W652	S	17/06/2015	0	294.60	female	ADG_0_24	1.609090909
W654	S	17/06/2015	0	285.80	female	ADG_0_24	2.072727273
W656	R	17/06/2015	0	244.00	female	ADG_0_24	1.163636364
W657	S	17/06/2015	0	326.40	female	ADG_0_24	2.072727273
W661	R	17/06/2015	0	226.00	female	ADG_0_24	1.227272727
W665	R	17/06/2015	0	175.60	female	ADG_0_24	1.245454545
W666	S	17/06/2015	0	194.40	female	ADG_0_24	1.281818182
W667	S	17/06/2015	0	193.60	female	ADG_0_24	1.345454545
W668	S	17/06/2015	0	190.20	female	ADG_0_24	1.336363636
W672	S	17/06/2015	0	195.80	female	ADG_0_24	1.163636364
W675	S	17/06/2015	0	189.20	female	ADG_0_24	1.145454545
W679	R	17/06/2015	0	173.20	female	ADG_0_24	1.190909091
W632	S	09/07/2015	24	273.20	female	ADG_24_43	0.4
W636	R	09/07/2015	24	377.40	female	ADG_24_43	1.133333333
W637	R	09/07/2015	24	332.40	female	ADG_24_43	0.8
W641	R	09/07/2015	24	342.80	female	ADG_24_43	0.923809524
W642	R	09/07/2015	24	360.00	female	ADG_24_43	0.704761905
W643	R	09/07/2015	24	247.60	female	ADG_24_43	0.704761905
W646	S	09/07/2015	24	260.00	female	ADG_24_43	0.342857143
W649	R	09/07/2015	24	278.60	female	ADG_24_43	0.847619048
W652	S	09/07/2015	24	330.00	female	ADG_24_43	1.085714286
W654	S	09/07/2015	24	331.40	female	ADG_24_43	0.571428571
W656	R	09/07/2015	24	269.60	female	ADG_24_43	-1.447619048
W657	S	09/07/2015	24	372.00	female	ADG_24_43	0.561904762
W661	R	09/07/2015	24	253.00	female	ADG_24_43	0.628571429
W665	R	09/07/2015	24	203.00	female	ADG_24_43	0.476190476
W666	S	09/07/2015	24	222.60	female	ADG_24_43	0.628571429
W667	S	09/07/2015	24	223.20	female	ADG_24_43	0.619047619
W668	S	09/07/2015	24	219.60	female	ADG_24_43	0.447619048
W672	S	09/07/2015	24	221.40	female	ADG_24_43	0.99047619
W675	S	09/07/2015	24	214.40	female	ADG_24_43	0.39047619
W679	R	09/07/2015	24	199.40	female	ADG_24_43	0.323809524
W632	S	30/07/2015	43	281.60	female	ADG_43_92	0.464
W636	R	30/07/2015	43	401.20	female	ADG_43_92	0.556
W637	R	30/07/2015	43	349.20	female	ADG_43_92	0.668
W641	R	30/07/2015	43	362.20	female	ADG_43_92	0.576
W642	R	30/07/2015	43	374.80	female	ADG_43_92	0.16
W643	R	30/07/2015	43	262.40	female	ADG_43_92	0.344
W646	S	30/07/2015	43	267.20	female	ADG_43_92	0.452
W649	R	30/07/2015	43	296.40	female	ADG_43_92	0.156
W652	S	30/07/2015	43	352.80	female	ADG_43_92	0.5
W654	S	30/07/2015	43	343.40	female	ADG_43_92	0.356
W656	R	30/07/2015	43	239.20	female	ADG_43_92	1.304
W657	S	30/07/2015	43	383.80	female	ADG_43_92	0.512
W661	R	30/07/2015	43	266.20	female	ADG_43_92	0.324
W665	R	30/07/2015	43	213.00	female	ADG_43_92	0.504
W666	S	30/07/2015	43	235.80	female	ADG_43_92	0.416
W667	S	30/07/2015	43	236.20	female	ADG_43_92	0.42
W668	S	30/07/2015	43	229.00	female	ADG_43_92	0.336
W672	S	30/07/2015	43	242.20	female	ADG_43_92	0.24
W675	S	30/07/2015	43	222.60	female	ADG_43_92	0.376
W679	R	30/07/2015	43	206.20	female	ADG_43_92	0.068
W632	S	18/09/2015	92	304.80	female	ADG_92_132	0.357894737
W636	R	18/09/2015	92	429.00	female	ADG_92_132	0.984210526
W637	R	18/09/2015	92	382.60	female	ADG_92_132	0.784210526
W641	R	18/09/2015	92	391.00	female	ADG_92_132	1.036842105
W642	R	18/09/2015	92	382.80	female	ADG_92_132	0.747368421
W643	R	18/09/2015	92	279.60	female	ADG_92_132	0.8
W646	S	18/09/2015	92	289.80	female	ADG_92_132	0.573684211
W649	R	18/09/2015	92	304.20	female	ADG_92_132	0.863157895
W652	S	18/09/2015	92	377.80	female	ADG_92_132	0.794736842
W654	S	18/09/2015	92	361.20	female	ADG_92_132	0.668421053
W656	R	18/09/2015	92	304.40	female	ADG_92_132	0.636842105
W657	S	18/09/2015	92	409.40	female	ADG_92_132	0.868421053
W661	R	18/09/2015	92	282.40	female	ADG_92_132	0.615789474
W665	R	18/09/2015	92	238.20	female	ADG_92_132	0.542105263
W666	S	18/09/2015	92	256.60	female	ADG_92_132	0.563157895
W667	S	18/09/2015	92	257.20	female	ADG_92_132	0.684210526
W668	S	18/09/2015	92	245.80	female	ADG_92_132	0.794736842
W672	S	18/09/2015	92	254.20	female	ADG_92_132	0.831578947
W675	S	18/09/2015	92	241.40	female	ADG_92_132	0.263157895
W679	R	18/09/2015	92	209.60	female	ADG_92_132	1.105263158
W632	S	26/10/2015	132	318.40	female	0	0
W636	R	26/10/2015	132	466.40	female	0	0
W637	R	26/10/2015	132	412.40	female	0	0
W641	R	26/10/2015	132	430.40	female	0	0
W642	R	26/10/2015	132	411.20	female	0	0
W643	R	26/10/2015	132	310.00	female	0	0
W646	S	26/10/2015	132	311.60	female	0	0
W649	R	26/10/2015	132	337.00	female	0	0
W652	S	26/10/2015	132	408.00	female	0	0
W654	S	26/10/2015	132	386.60	female	0	0
W656	R	26/10/2015	132	328.60	female	0	0
W657	S	26/10/2015	132	442.40	female	0	0
W661	R	26/10/2015	132	305.80	female	0	0
W665	R	26/10/2015	132	258.80	female	0	0
W666	S	26/10/2015	132	278.00	female	0	0
W667	S	26/10/2015	132	283.20	female	0	0
W668	S	26/10/2015	132	276.00	female	0	0
W672	S	26/10/2015	132	285.80	female	0	0
W675	S	26/10/2015	132	251.40	female	0	0
W679	R	26/10/2015	132	251.60	female	0	0
