Genus	STROMAEQ.1	STROMAEQ.10	STROMAEQ.100	STROMAEQ.11	STROMAEQ.12	STROMAEQ.13	STROMAEQ.14	STROMAEQ.15	STROMAEQ.16	STROMAEQ.17	STROMAEQ.18	STROMAEQ.19	STROMAEQ.2	STROMAEQ.20	STROMAEQ.21	STROMAEQ.22	STROMAEQ.23	STROMAEQ.24	STROMAEQ.25	STROMAEQ.26	STROMAEQ.27	STROMAEQ.28	STROMAEQ.29	STROMAEQ.3	STROMAEQ.30	STROMAEQ.31	STROMAEQ.32	STROMAEQ.33	STROMAEQ.34	STROMAEQ.35	STROMAEQ.36	STROMAEQ.37	STROMAEQ.38	STROMAEQ.39	STROMAEQ.4	STROMAEQ.40	STROMAEQ.41	STROMAEQ.42	STROMAEQ.43	STROMAEQ.44	STROMAEQ.45	STROMAEQ.46	STROMAEQ.47	STROMAEQ.48	STROMAEQ.49	STROMAEQ.5	STROMAEQ.50	STROMAEQ.51	STROMAEQ.52	STROMAEQ.53	STROMAEQ.54	STROMAEQ.55	STROMAEQ.56	STROMAEQ.57	STROMAEQ.58	STROMAEQ.59	STROMAEQ.6	STROMAEQ.60	STROMAEQ.61	STROMAEQ.62	STROMAEQ.63	STROMAEQ.64	STROMAEQ.65	STROMAEQ.66	STROMAEQ.67	STROMAEQ.68	STROMAEQ.69	STROMAEQ.7	STROMAEQ.70	STROMAEQ.71	STROMAEQ.72	STROMAEQ.73	STROMAEQ.74	STROMAEQ.75	STROMAEQ.76	STROMAEQ.77	STROMAEQ.78	STROMAEQ.79	STROMAEQ.8	STROMAEQ.80	STROMAEQ.81	STROMAEQ.82	STROMAEQ.83	STROMAEQ.84	STROMAEQ.85	STROMAEQ.86	STROMAEQ.87	STROMAEQ.88	STROMAEQ.89	STROMAEQ.9	STROMAEQ.90	STROMAEQ.91	STROMAEQ.92	STROMAEQ.93	STROMAEQ.94	STROMAEQ.95	STROMAEQ.96	STROMAEQ.97	STROMAEQ.98	STROMAEQ.99
 Stenotrophomonas	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	5	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
 Thermobacillus	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Anaerobiospirillum	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Leptotrichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
 PW3	0	0	0	0	22	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	26	11	3	0	0	0	0	0	0	10	0	0	10	0	0	0	0	37	16	0	0	0	2	0	6	0	4	3	0	8	27	0	0	15	0	7	25	0	0	0	0	0	8	2	0	8	17	0	0	0	19	6	0	4	3	0	0	0	0	0	3	9	0	0	0	6	0	0	3	0	0	0	0	0
 Mogibacterium	29	10	14	32	27	35	39	42	0	55	0	18	59	20	26	14	26	20	44	13	70	15	73	35	25	30	78	26	58	79	44	61	34	31	31	175	43	42	124	27	25	33	20	294	36	33	48	28	0	37	70	39	10	0	0	26	66	19	6	34	22	50	101	14	77	86	28	0	122	60	27	6	59	80	13	81	75	110	10	42	45	27	21	23	17	13	76	88	89	10	0	38	25	58	18	75	76	35	22	30
 RFN20	0	0	0	0	0	0	0	3	7	0	7	0	0	6	0	3	0	0	0	4	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	25	14	0	0	0	5	0	19	0	0	0	0	4	0	0	0	0	8	0	14	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Butyrivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	27	0	5	0	0
 Pseudobutyrivibrio	55	107	26	138	228	115	34	79	76	27	70	75	40	104	138	140	176	83	91	117	139	120	117	72	110	157	199	65	163	110	215	182	98	132	238	221	208	196	213	172	201	63	65	84	112	56	59	82	119	192	336	124	43	53	27	103	71	77	0	0	124	86	138	85	87	87	125	26	188	56	49	175	54	152	54	184	80	41	42	55	74	29	30	51	47	130	78	43	133	44	0	47	43	172	38	110	122	30	37	148
 Oscillospira	287	159	158	378	400	259	379	166	677	466	278	85	395	205	297	172	144	115	133	147	293	137	312	187	162	217	405	245	365	497	798	493	125	86	280	845	282	501	918	292	208	166	99	1085	321	152	513	338	358	498	625	327	212	132	8	284	525	163	166	509	354	498	757	255	353	959	194	83	1986	643	251	1055	572	503	728	866	732	413	98	411	484	331	585	252	346	1654	587	901	801	24	356	630	279	930	607	1259	1454	375	620	1259
 Thermoactinomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
