Genus	1	10	104	105	106	107	108	109	112	12	13	14	15	17	18	19	2	20	21	22	23	24	25	28	29	3	30	32	33	34	35	36	37	38	39	4	41	42	44	5	53	54	55	56	57	59	6	62	64	65	68	7	71	72	74	76	78	79	8	80	82	84	86	87	88	9	90
 Blautia	203	184	375	390	287	209	126	313	294	182	387	623	836	163	110	556	139	53	219	22	198	553	86	368	478	371	451	303	86	325	57	132	9	405	24	232	88	248	169	111	59	88	314	14	41	64	312	161	201	106	130	247	36	223	60	102	124	95	72	67	154	116	101	94	6	305	52
 Butyricicoccus	20	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	8	0	0	10	8	0	42	0	0	4	3	6	0	0	9	0	19	0	0	15	0	7	0	4	0	15	9	0	21	0	0	6
 Clostridium	10	0	0	42	147	36	0	0	51	0	37	21	0	0	24	0	0	35	0	58	0	0	92	0	7	60	52	25	0	28	0	40	66	27	18	0	77	0	0	0	23	0	51	0	36	51	36	78	0	0	0	0	19	130	12	77	0	60	0	0	0	0	5	37	0	53	59
 Prevotella	1587	2280	1557	489	2568	1964	818	901	779	1019	2484	760	2032	2150	2546	2361	698	960	3522	1121	2093	5124	1641	2045	1533	4624	3156	1818	1249	1379	1652	1910	1177	5326	1497	2412	1184	660	624	2244	1960	1364	1157	619	1756	1260	1939	1986	5156	3221	2087	1242	775	1636	3883	4845	2240	1083	320	3083	4225	2960	3388	1542	813	2709	1408
 Faecalibacterium	32	0	0	0	19	0	0	0	0	8	38	69	55	26	4	0	0	0	0	0	13	41	0	9	62	23	10	15	3	16	14	0	0	50	0	18	0	9	0	4	0	6	0	6	0	6	13	8	0	9	0	0	0	19	0	0	0	0	0	0	25	0	0	13	0	88	6
 Streptococcus	0	32	310	3565	58	144	60	2446	11	8	18	19	59	2352	0	26	102	7	12	130	0	69	48	26	124	4	9	0	0	58	23	14	0	0	0	9	14	0	0	0	0	0	74	0	40	6	55	42	2	11	8	57	0	0	0	0	8	0	35	2	3	16	32	7	0	14	27
 Dehalobacterium	0	0	8	0	0	12	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	3	0	9	0	0	0	0	7	0	0	6	0	3	0	3	7	0	0	2	0	0	19	3	0	0	0	0	0	6	0	0	7	5	10	0	0	4	12
 p-75-a5	0	0	0	0	0	0	6	0	39	4	3	0	0	0	18	0	0	0	0	5	0	0	4	0	0	0	8	0	0	2	0	0	0	0	0	0	6	0	0	0	16	3	0	0	18	0	0	0	6	0	0	0	0	0	27	6	0	0	0	0	0	0	0	0	0	0	0
 Paludibacter	9	0	0	16	60	0	4	14	6	16	17	587	11	39	61	8	244	54	37	0	45	51	269	72	278	80	11	152	230	31	4	691	117	920	86	23	4	32	283	86	0	16	7	17	61	34	10	23	11	229	41	23	21	197	0	20	9	146	7	146	53	46	7	63	58	41	10
 Shuttleworthia	0	0	0	0	12	7	0	0	0	7	0	8	0	0	15	12	0	13	13	0	0	12	0	11	11	6	0	0	3	0	0	8	0	18	0	0	17	0	0	0	0	0	12	0	0	16	0	0	0	10	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Enterococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
 Mucispirillum	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Coprococcus	493	594	2279	2480	857	901	646	1429	2056	772	1044	1266	1101	1070	427	1582	1702	398	468	1444	376	947	443	744	810	1080	742	562	351	799	321	418	192	870	248	389	540	333	440	559	170	510	691	104	390	364	361	1071	774	512	770	659	186	550	481	349	478	338	267	194	861	544	920	614	278	741	460
 [Eubacterium]	0	12	12	41	9	6	0	30	71	8	0	0	18	8	9	28	0	6	0	16	0	0	0	0	0	0	33	0	4	0	0	0	0	6	0	0	9	0	0	0	0	8	0	0	9	0	0	10	6	0	0	0	3	0	22	0	7	0	0	0	0	0	9	0	0	0	9
 Akkermansia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Anaerobiospirillum	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	8	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	4	0
 Sarcina	30	0	30	38	12	0	33	0	0	0	6	80	0	0	0	0	146	0	0	13	0	10	8	11	22	29	0	13	17	9	0	34	0	0	0	0	18	0	17	9	42	21	27	27	43	13	46	229	58	14	44	0	17	47	28	24	0	15	13	34	13	0	94	32	0	0	0
 Roseburia	258	67	71	213	313	211	110	113	196	146	341	457	485	500	246	357	46	261	374	77	72	354	331	250	210	286	494	130	106	163	195	110	277	431	133	181	255	54	86	154	96	186	209	67	146	212	182	75	205	196	117	96	74	252	34	49	269	200	49	95	266	152	202	216	104	256	266
 Staphylococcus	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	10
 Aggregatibacter	0	0	23	0	0	33	9	0	0	0	0	0	0	0	0	0	11	0	0	5	0	19	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	12	0	0	0	13	0	0	0	12
 Epulopiscium	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Clostridium	364	270	452	2419	624	476	743	749	546	844	617	511	521	663	472	464	743	1261	302	960	310	544	457	134	291	161	301	221	196	414	247	220	218	579	424	282	434	91	139	401	141	59	424	395	1284	103	316	1144	669	381	548	143	497	271	905	235	161	447	101	139	417	108	392	379	209	438	744
 Desulfovibrio	34	24	0	0	0	22	0	37	0	22	0	15	0	0	34	50	46	54	46	0	0	20	0	32	27	22	50	0	0	0	0	35	50	0	131	39	0	22	0	0	33	36	15	11	0	25	0	22	0	48	0	24	26	0	0	74	28	57	0	0	44	42	0	14	0	102	0
 L7A_E11	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Fibrobacter	65	40	17	104	0	43	118	84	79	219	21	12	107	601	110	187	0	112	84	52	81	404	86	721	487	68	361	370	450	180	155	74	598	463	166	70	95	591	445	116	97	522	44	42	695	106	32	71	156	460	499	260	40	313	55	172	476	193	179	289	377	260	112	18	339	338	313
 Butyrivibrio	17	0	0	0	0	10	0	0	0	32	0	0	15	9	0	27	10	0	15	0	0	0	0	5	0	6	14	0	0	19	0	0	0	13	0	0	0	7	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0	0	0	0	10	0	0	0	3	7	0	20	0	11	4
 RFN20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	19	0	0	0	0	0	0	0	0	0	0	0	0	104	0	117	11	0	5	0	0	20	32	0	9	35	0	0	0	42	4	0	18	14	0	0	0	0	0	0	0	0	0	0	6	40	16	0
 Flexispira	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	41	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	5	0	0	0	11	0	0
 Leptotrichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
 Campylobacter	14	16	8	10	54	4	117	0	0	38	69	14	24	8	16	0	185	0	247	0	0	23	45	112	34	16	52	0	57	6	0	14	16	134	203	56	33	0	12	9	153	0	16	3	17	0	46	0	23	13	43	0	0	17	55	43	0	27	4	66	26	13	0	8	104	17	110
 rc4-4	7	22	0	0	0	11	0	0	0	25	26	22	11	19	0	27	0	13	19	0	17	34	0	12	25	30	33	0	0	9	6	0	0	22	16	15	0	0	0	13	0	9	21	0	0	8	33	0	0	0	15	53	0	0	11	0	6	7	0	0	16	28	0	0	0	15	0
 Pseudoramibacter_Eubacterium	0	0	0	0	0	0	0	0	3	12	0	0	0	0	7	0	25	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	9	0	22	0	0	6	0	0	18	0	0	0	0	5	0	0	0	0	0	8
 BF311	0	39	123	18	19	222	374	8	137	60	2	16	9	0	270	280	186	269	38	151	27	107	38	135	288	0	110	125	123	34	14	55	433	0	240	48	47	545	31	129	455	307	70	213	1885	424	10	478	0	240	416	229	376	11	166	710	95	176	242	1127	12	34	410	0	97	87	1438
 Bacteroides	0	0	0	0	0	0	0	9	2	0	6	0	0	0	7	23	0	0	4	9	4	12	0	0	0	13	17	0	0	0	17	0	4	18	0	21	0	0	0	0	6	0	0	0	0	0	0	0	21	0	0	0	0	0	44	0	0	0	0	0	0	0	2	0	0	25	0
 Rummeliibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Phascolarctobacterium	0	7	0	0	0	21	0	0	6	0	0	0	0	0	23	23	19	0	12	0	0	0	11	0	0	0	13	0	0	0	0	0	0	5	0	6	0	6	0	0	0	9	0	0	0	0	0	0	0	0	0	0	21	0	17	12	0	0	0	0	0	0	0	0	0	0	6
 Treponema	1471	1564	540	485	587	507	1614	363	613	2086	333	653	414	588	649	1015	57	787	933	450	655	1600	1004	915	1216	493	1302	1194	1622	1074	1102	467	1910	1903	2639	1614	1360	912	1146	661	1330	1340	78	737	2211	1614	772	371	1254	1350	1759	1306	713	2152	995	711	1882	2201	955	1502	1461	939	1487	527	1613	1746	806
 Anaeroplasma	15	4	26	0	20	0	2	17	7	11	0	0	0	79	0	7	0	12	32	3	0	237	29	23	24	0	12	10	7	15	7	0	7	111	54	19	4	4	40	0	0	11	0	7	22	19	0	7	59	22	9	4	0	20	3	15	77	59	8	12	33	21	16	3	4	9	6
 PW3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	3	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	0
 Mogibacterium	24	64	152	335	63	148	230	76	156	96	63	59	57	28	85	109	310	52	17	415	6	7	27	24	55	41	6	42	44	45	0	80	19	0	33	28	87	35	27	76	20	18	70	31	92	46	34	172	34	72	148	20	77	26	82	108	39	47	16	15	61	0	268	50	23	98	94
 Syntrophomonas	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0
 [Prevotella]	103	192	111	76	305	170	14	188	95	130	309	135	1539	1594	1562	590	170	77	683	118	383	1066	1219	717	688	772	508	638	350	219	408	961	1085	581	70	43	226	161	122	661	17	278	218	294	301	275	633	67	391	486	268	350	119	123	81	41	362	11	134	198	656	329	476	102	67	277	966
 Weissella	2	0	0	11	0	0	0	0	0	0	0	3	13	21	0	0	205	6	0	0	0	24	0	0	19	0	0	42	0	0	0	0	0	0	0	4	0	0	0	12	0	0	17	32	0	0	0	2	0	45	12	27	0	11	0	0	103	14	11	0	0	0	12	0	0	0	0
 Adlercreutzia	7	12	100	110	46	107	54	0	88	34	0	33	31	0	15	33	350	43	15	82	7	13	0	0	27	30	23	0	6	25	9	0	0	0	12	21	6	9	4	7	9	29	35	0	0	14	0	225	17	56	49	23	0	31	15	31	12	49	0	0	35	12	48	8	29	44	63
 Escherichia	4	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	1717	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
 Anaerostipes	0	0	0	0	0	0	0	9	0	0	0	0	14	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
 Anaerovibrio	27	50	0	8	62	16	0	9	48	20	161	235	161	65	155	202	3153	8	115	0	71	85	106	62	63	117	278	25	69	40	24	63	65	236	65	10	55	0	20	28	88	41	73	23	13	29	25	33	95	107	43	10	13	48	52	124	43	19	10	19	55	51	85	15	42	156	45
 CF231	629	538	250	146	1255	431	89	534	64	465	1171	224	1348	1509	485	339	1011	440	1126	423	659	1676	705	733	765	1041	462	412	349	515	1171	307	332	1835	251	534	285	444	455	330	291	416	394	238	577	442	517	915	603	868	549	660	208	604	490	830	742	163	163	569	1440	854	69	464	181	1609	299
 Lachnospira	0	0	20	0	13	16	0	25	31	8	34	0	18	38	0	20	0	0	57	49	0	10	0	14	0	0	52	0	8	0	0	0	12	83	23	31	0	0	4	10	0	0	15	0	0	9	17	0	34	0	0	0	0	10	0	12	0	0	0	0	21	12	17	11	9	0	10
