,Shift,Metabolite,Peak name,Metabolite_Reannotated,Metabolite_name_R,Lower,Upper,W632_d0_TS,W632_d24_TS,W632_RB_TS,W636_d0_TR,W636_d24_TR,W636_RB_TR,W641_d0_TR,W641_d24_TR,W641_RB_TR,W642_d0_TR,W642_d24_TR,W642_RB_TR,W643_d0_TR,W643_d24_TR,W643_RB_TR,W646_d0_TS,W646_d24_TS,W646_RB_TS,W649_d0_TR,W649_d24_TR,W649_RB_TR,W652_d0_TS,W652_d24_TS,W652_RB_TS,W656_d0_TR,W656_d24_TR,W656_RB_TR,W661_d0_TR,W661_d24_TR,W661_RB_TR,W665_d0_TR,W665_d24_TR,W665_RB_TR,W666_d0_TS,W666_d24_TS,W666_RB_TS,W667_d0_TS,W667_d24_TS,W667_RB_TS,W668_d0_TS,W668_d24_TS,W668_RB_TS,W672_d0_TS,W672_d24_TS,W672_RB_TS,W675_d0_TS,W675_d24_TS,W675_RB_TS,W679_d0_TR,W679_d24_TR,W679_RB_TR
78,8.225,U1,U1,Inosine,,8.215,8.225,0.00014214,0.00011986,0.00013013,0.00019089,0.0001807,0.00013915,8.68E-05,0.00014332,0.00010963,0.0001229,0.00015196,9.30E-05,0.0001654,0.000194,0.00016921,0.00019512,8.40E-05,0.00012135,0.00014537,0.00015793,0.00015303,0.00011902,0.00015552,0.00011487,0.00013074,0.00016533,0.00010706,0.00012377,0.00012951,6.74E-05,8.20E-05,0.00011336,9.02E-05,0.00015781,0.00013934,0.00012082,0.000182,0.00018688,0.00011404,0.00011791,0.00016245,0.00010049,0.00016427,0.00011136,0.00010162,0.00010898,0.00011479,8.77E-05,0.00015004,9.90E-05,0.0001122
79,8.215,U2,U2,Inosine,,8.215,8.225,0.0001293,0.00018831,0.00016724,6.89E-05,0.00014219,0.00012175,3.02E-05,0.00015702,0.00011107,0.00016487,0.00012881,0.00014657,0.00011774,0.00015137,0.00013918,0.00013542,0.00020864,0.00012902,0.00015304,0.00017775,0.00015363,0.00011385,0.00012342,0.00012178,0.00012824,0.00013608,0.00013589,0.00011099,0.00011983,0.00011767,1.52E-05,0.00014406,0.00016286,4.02E-05,0.00012054,0.00012294,8.83E-05,0.00012348,0.0001569,0.0001464,0.00012492,0.00018745,0.00011733,0.00018832,0.00017657,0.00013805,0.00015454,0.00014376,7.06E-05,0.00016883,0.00012247
101,7.995,Histidine,Histidine,Histidine,,7.985,7.995,0.00047308,0.00027985,0.00026747,0.00065671,0.00044504,0.00032207,0.00054376,0.00046724,0.00029902,0.00037102,0.00042383,0.00025476,0.0004829,0.00045636,0.00027063,0.00049402,0.00022389,0.00025288,0.00042131,0.00042246,0.00031204,0.00033308,0.00042198,0.00026658,0.00037818,0.00039739,0.00025028,0.00039889,0.00038579,0.00013912,0.00054927,0.00032931,0.00020832,0.0006198,0.00043472,0.00028388,0.00048006,0.00044617,0.0002737,0.00033469,0.00037007,0.00027389,0.00042695,0.00034978,0.00023872,0.00030556,0.00030896,0.00017666,0.00044456,0.0003281,0.00032195
102,7.985,Histidine,Histidine,Histidine,,7.985,7.995,0.00038688,0.00044073,0.00032807,0.00028176,0.00039742,0.00027406,0.00020088,0.00038411,0.00028833,0.00053961,0.00032983,0.00027063,0.00033428,0.00033332,0.00026701,0.00043211,0.00054928,0.0002742,0.00041599,0.00036847,0.00024946,0.00035216,0.00032499,0.00028204,0.00046729,0.00031861,0.00028891,0.00038309,0.00030562,0.00028561,0.00021793,0.00044097,0.00036123,0.00023618,0.00034323,0.00029784,0.00031215,0.00034836,0.00030522,0.00053156,0.00045127,0.00036695,0.00032367,0.00045643,0.0003583,0.00047297,0.00043784,0.000355,0.00040456,0.00049635,0.00033263
111,7.895,U3,U3,U3,U3,7.895,7.895,0.00018847,0.00020141,0.00018852,0.00019804,0.00022099,0.00017653,9.05E-05,0.0002103,0.0001641,0.00021191,0.00023204,0.00014224,0.00023223,0.00024651,0.00017873,0.00025384,0.00018416,0.00016688,0.00023202,0.00024638,0.00017532,0.00016862,0.00018631,0.00016139,0.0002311,0.00018964,0.00015068,0.00021267,0.00021774,0.00013489,0.00010043,0.00019122,0.00018027,0.00014694,0.00019631,0.00018046,0.00020427,0.00021697,0.00016226,0.00017749,0.00022892,0.0001597,0.00018913,0.00021692,0.00016958,0.00019684,0.00020083,0.000173,0.00018797,0.00020034,0.00016472
112,7.885,U4,U4,U4,U4,7.885,7.885,7.58E-05,0.00011876,0.00010215,9.96E-05,0.00012352,0.00010887,5.92E-05,0.00010794,8.82E-05,0.00013195,0.00011088,9.68E-05,0.00012338,9.81E-05,0.00010314,0.00011784,0.0001613,8.89E-05,0.00011679,0.00013672,9.32E-05,9.41E-05,0.00010082,8.57E-05,0.00014037,9.37E-05,0.00010401,0.0001068,9.38E-05,0.00010717,6.72E-05,0.00013071,0.00013654,7.51E-05,0.00010525,0.00010267,9.77E-05,0.00011848,0.00010352,0.0001263,0.00012021,0.00012105,9.56E-05,0.00015265,0.00010489,0.00011374,0.00012753,0.00012937,7.76E-05,0.00010968,0.00010279
115,7.855,U5,U5,U5,U5,7.855,7.855,3.27E-05,6.28E-05,7.47E-05,4.77E-05,0.00012367,7.84E-05,3.63E-05,8.51E-05,9.50E-05,5.39E-05,7.76E-05,7.08E-05,4.68E-05,8.07E-05,9.08E-05,6.43E-05,0.00011725,7.27E-05,5.43E-05,9.29E-05,0.00011239,7.26E-05,0.00010912,8.88E-05,5.56E-05,0.00011105,8.24E-05,5.35E-05,6.73E-05,4.71E-05,5.40E-05,0.00012903,6.90E-05,7.82E-05,0.00014751,8.77E-05,5.93E-05,0.00012531,9.91E-05,5.92E-05,0.00013711,0.00013553,7.02E-05,0.00011037,9.06E-05,5.01E-05,0.00010282,7.51E-05,4.70E-05,0.00010422,9.13E-05
116,7.845,U6,U6,U6,U6,7.845,7.845,5.39E-05,9.92E-05,0.00010005,5.64E-05,0.00015639,0.00011197,4.86E-05,0.00011755,0.00011562,5.44E-05,8.49E-05,8.56E-05,5.94E-05,8.62E-05,0.00011404,6.28E-05,0.00015391,0.00011085,7.52E-05,0.00012351,0.00014499,6.86E-05,0.00017185,0.0001094,6.45E-05,0.00014694,0.00011547,5.00E-05,8.94E-05,7.26E-05,7.08E-05,0.00019239,9.10E-05,0.00012,0.0002054,0.00011763,7.94E-05,0.00014581,0.00012036,9.04E-05,0.00020972,0.00018132,7.42E-05,0.00015647,0.00012636,6.37E-05,0.00014149,9.58E-05,6.47E-05,0.00014285,0.00013633
117,7.835,U7,U7,U7,U7,7.835,7.835,2.97E-05,7.81E-05,9.33E-05,5.86E-05,0.00014782,7.89E-05,3.60E-05,9.93E-05,0.00010492,5.08E-05,6.36E-05,6.11E-05,4.32E-05,6.91E-05,0.00010906,6.10E-05,0.00015478,9.08E-05,5.79E-05,0.00010136,0.00010815,6.47E-05,0.00015598,9.83E-05,6.30E-05,0.00014061,9.48E-05,5.08E-05,7.45E-05,5.66E-05,7.56E-05,0.00018646,9.13E-05,0.0001061,0.00019283,9.93E-05,8.46E-05,0.00014629,9.85E-05,7.64E-05,0.000214,0.00014613,6.78E-05,0.00014534,9.40E-05,6.65E-05,0.00010385,8.92E-05,5.51E-05,0.00013453,0.00012632
122,7.785,1-methylhistidine,1-methylhistidine,1-methylhistidine,,7.785,7.785,8.02E-05,2.24E-05,2.78E-05,0.00010751,4.54E-05,3.30E-05,6.33E-05,5.32E-05,1.87E-05,4.43E-05,3.87E-05,2.90E-05,7.02E-05,4.78E-05,3.20E-05,0.00011892,3.03E-05,3.69E-05,7.73E-05,4.28E-05,2.86E-05,7.10E-05,5.10E-05,3.38E-05,7.59E-05,3.71E-05,2.83E-05,5.45E-05,2.74E-05,2.06E-05,0.00015824,3.57E-05,3.18E-05,0.00018803,6.71E-05,5.90E-05,0.00011439,6.10E-05,3.10E-05,6.65E-05,5.49E-05,3.74E-05,8.49E-05,4.81E-05,2.32E-05,0.00015483,8.02E-05,3.67E-05,0.00010795,4.37E-05,3.58E-05
126,7.745,Tryptophane,Tryptophane,Tryptophane,,7.535,7.745,6.70E-05,4.41E-05,4.35E-05,8.56E-05,6.52E-05,4.65E-05,8.41E-05,5.52E-05,4.44E-05,7.76E-05,5.60E-05,3.50E-05,6.89E-05,3.86E-05,5.45E-05,7.99E-05,6.90E-05,5.28E-05,7.63E-05,5.66E-05,3.45E-05,5.43E-05,5.30E-05,3.98E-05,8.57E-05,6.97E-05,4.68E-05,7.48E-05,5.46E-05,3.63E-05,5.32E-05,5.63E-05,3.36E-05,7.63E-05,7.14E-05,5.03E-05,6.59E-05,6.99E-05,4.52E-05,4.14E-05,7.25E-05,2.96E-05,6.12E-05,6.21E-05,5.39E-05,7.43E-05,6.78E-05,4.68E-05,6.66E-05,4.98E-05,4.27E-05
127,7.735,Tryptophane,Tryptophane,Tryptophane,,7.535,7.745,4.99E-05,3.50E-05,4.79E-05,8.56E-05,4.87E-05,4.25E-05,7.32E-05,5.27E-05,2.92E-05,4.60E-05,5.55E-05,4.06E-05,5.63E-05,5.37E-05,5.32E-05,9.40E-05,5.17E-05,4.61E-05,7.16E-05,5.03E-05,2.89E-05,5.46E-05,5.40E-05,3.65E-05,8.29E-05,5.64E-05,4.35E-05,6.79E-05,3.87E-05,3.21E-05,8.07E-05,3.53E-05,4.32E-05,6.79E-05,5.27E-05,3.36E-05,7.33E-05,5.28E-05,3.77E-05,4.52E-05,5.48E-05,3.44E-05,7.94E-05,6.08E-05,3.19E-05,4.58E-05,3.80E-05,4.00E-05,5.97E-05,4.02E-05,4.84E-05
145,7.555,Tryptophane,Tryptophane,Tryptophane,,7.535,7.745,5.57E-05,6.34E-05,9.00E-05,8.62E-05,0.00014989,0.00010896,0.00010083,0.00011015,0.00012602,8.83E-05,9.43E-05,8.03E-05,6.83E-05,9.17E-05,9.58E-05,9.71E-05,0.00013932,0.00010206,0.0001042,0.00010333,0.0001193,9.58E-05,0.00015943,0.00010477,9.06E-05,0.00013803,0.00012712,7.87E-05,8.55E-05,7.55E-05,9.26E-05,0.00017367,0.00010578,0.00012087,0.00020589,0.00012745,9.02E-05,0.00013693,0.00011667,9.79E-05,0.00017705,0.00016576,9.33E-05,0.00015321,0.0001178,9.29E-05,0.00012159,0.00010081,7.32E-05,0.00014575,0.00013322
146,7.545,Tryptophane,Tryptophane,Tryptophane,,7.535,7.745,5.87E-05,6.92E-05,8.31E-05,8.72E-05,0.00013594,7.61E-05,6.28E-05,0.00010875,0.00010243,7.38E-05,6.87E-05,7.67E-05,4.93E-05,6.72E-05,0.00010616,7.80E-05,0.00013524,8.66E-05,6.95E-05,0.00010357,9.06E-05,6.87E-05,0.0001178,7.78E-05,5.72E-05,0.00012819,0.00010343,7.75E-05,8.33E-05,5.32E-05,8.06E-05,0.00014279,0.00010588,0.00010976,0.00015824,0.0001054,7.76E-05,0.00013792,0.0001092,8.74E-05,0.00016707,0.00013016,8.20E-05,0.00012812,0.00010775,6.70E-05,0.00011542,8.97E-05,5.93E-05,0.0001276,0.00011015
