NUM;age;;
W685;1;;
W686;1;;
W687;1;;
W688;1;;
W689;1;;
W690;1;;
W691;1;;
W692;1;;
W693;1;;
MW511;2;;
W673;2;;
W674;2;;
W675;2;;
W676;2;;
W677;2;;
W678;2;;
W679;2;;
W680;2;;
W681;2;;
W682;2;;
W683;2;;
W684;2;;
W663;3;;
W664;3;;
W665;3;;
W666;3;;
W667;3;;
W668;3;;
W669;3;;
W670;3;;
W671;3;;
W672;3;;
MW483;4;;
MW516;4;;
W652;4;;
W653;4;;
W654;4;;
W655;4;;
W656;4;;
W657;4;;
W658;4;;
W659;4;;
W660;4;;
W661;4;;
W662;4;;
MW517;5;;
W642;5;;
W643;5;;
W645;5;;
W646;5;;
W647;5;;
W649;5;;
W650;5;;
W632;6;;
W634;6;;
W635;6;;
W636;6;;
W637;6;;
W638;6;;
W640;6;;
W641;6;;
AF04;7;;
AF05;7;;
AF03;7;;
AF06;7;;
MW478;8;;
W613;8;;
W614;8;;
W617;8;;
W620;8;;
W621;8;;
W622;8;;
W625;8;;
W626;8;;
W628;8;;
W630;8;;
W631;8;;
AF01;8;;
AF07;8;;
W602;9;;
W603;9;;
W607;9;;
W609;9;;
W611;9;;
AF08;9;;
W589;11;;
W590;11;;
W593;11;;
W594;11;;
W597;11;;
W598;11;;
W599;11;;
W601;11;;
MW438;12;;
W563;12;;
W566;12;;
W567;12;;
W571;12;;
W577;12;;
W578;12;;
W582;12;;
W583;12;;
W584;12;;
W585;12;;
W586;12;;
W587;12;;
W588;12;;
AF02;12;;
W550;13;;
W551;13;;
W552;13;;
W556;13;;
W558;13;;
W560;13;;
W524;14;;
W529;14;;
W532;14;;
W535;14;;
W536;14;;
W538;14;;
W540;14;;
W542;14;;
W543;14;;
W544;14;;
W515;15;;
W485;16;;
W486;16;;
W497;16;;
W505;16;;
W506;16;;
MW329;19;;
W405;21;;
MW530;6 mois;;
MW531;6 mois;;
MW532;6 mois;;
MW533;6 mois;;
MW534;6 mois;;
MW536;6 mois;;
MW537;6 mois;;
MW538;6 mois;;
MW539;6 mois;;
MW540;6 mois;;
MW541;6 mois;;
MW542;6 mois;;
MW543;6 mois;;
MW544;6 mois;;
MW545;6 mois;;
W694;6 mois;;
W695;6 mois;;
W696;6 mois;;
W697;6 mois;;
W698;6 mois;;
W699;6 mois;;
W700;6 mois;;
W701;6 mois;;
W702;6 mois;;
W703;6 mois;;
W704;6 mois;;
W705;6 mois;;
W706;6 mois;;
W707;6 mois;;
W708;6 mois;;
W709;6 mois;;
W710;6 mois;;
W711;6 mois;;
W712;6 mois;;
